id,character,season,rank,word,count,uniqueness_score
519,Sheldon,9.0,9,line,19,15.041666666666666
520,Sheldon,9.0,10,time,42,13.066666666666666
521,Penny,9.0,1,know,82,15.493087557603685
522,Penny,9.0,2,want,40,9.815950920245399
523,Penny,9.0,3,come,31,8.898148148148149
524,Penny,9.0,4,leonard,30,8.571428571428571
525,Penny,9.0,5,sweetie,8,8.0
526,Penny,9.0,6,right,37,6.678048780487805
527,Penny,9.0,7,go,30,5.960264900662251
528,Penny,9.0,8,sheldon,30,5.521472392638037
529,Penny,9.0,9,really,29,5.425806451612903
530,Penny,9.0,10,let,27,5.360294117647059
531,Amy,9.0,1,sheldon,51,15.957055214723928
532,Amy,9.0,2,know,69,10.97004608294931
533,Amy,9.0,3,hi,15,6.617647058823529
534,Amy,9.0,4,really,24,3.7161290322580647
535,Amy,9.0,5,long,12,3.5999999999999996
536,Amy,9.0,6,rajesh,5,3.5714285714285716
537,Amy,9.0,7,feel,15,3.409090909090909
538,Amy,9.0,8,thank,16,3.324675324675325
539,Amy,9.0,9,go,22,3.205298013245033
540,Amy,9.0,10,new,11,3.1025641025641026
541,Howard,9.0,1,bernie,6,5.142857142857142
542,Howard,9.0,2,quantum,5,5.0
543,Howard,9.0,3,kid,7,4.8999999999999995
544,Howard,9.0,4,know,46,4.875576036866359
545,Howard,9.0,5,band,6,4.5
546,Howard,9.0,6,guidance,7,4.454545454545454
547,Howard,9.0,7,really,26,4.361290322580645
548,Howard,9.0,8,make,21,3.9026548672566372
549,Howard,9.0,9,bet,7,3.769230769230769
550,Howard,9.0,10,baby,12,3.5999999999999996
551,Bernadette,9.0,1,howie,15,15.0
552,Bernadette,9.0,2,raj,12,3.5999999999999996
553,Bernadette,9.0,3,little,16,3.011764705882353
554,Bernadette,9.0,4,ew,3,3.0
555,Bernadette,9.0,5,stuart,9,2.454545454545454
556,Bernadette,9.0,6,sheldon,20,2.4539877300613497
557,Bernadette,9.0,7,redecorating,2,2.0
558,Bernadette,9.0,8,harmless,2,2.0
559,Bernadette,9.0,9,forgiven,2,2.0
